ID;Ürün Adı;Fiyat (EUR);Marka;Kategori;Kategori Kodu;Ürün Kodu;Spec: displacement_cm3
970;AC2140GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123150;
971;AC2155GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123151;
972;AC2168GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123152;
973;AC2178GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123153;
974;AV2130GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123051;
975;AV2140GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123026;
976;AV2155GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123052;
977;AV2168GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123048;
978;AV2178GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123032;
979;AV2180GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3058004;
980;AV2192GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123046;
981;AV2212GK (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123040;
982;AV2212GK2V (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123038;
983;AVT2212GS (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123047;
984;AVT2212GS2V (R404A/R507 LBP);200.00;;Kondenser Üniteleri;condenserunit;LF3123039;
985;SECOP CUTL5G00000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058040;
986;SECOP CUNL6.1MF00C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058041;
987;SECOP CUFR6G00000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058042;
988;SECOP CUFR7.5G000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058043;
989;SECOP CUFR8.5G000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058045;
990;SECOP CUFR10G0000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058047;
991;SECOP CUNL11MF000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058049;
992;SECOP CUFR11G0000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058050;
993;SECOP CUSC15G0000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058053;
994;SECOP CUSC15MFX00C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058052;
995;SECOP CUSC18G0000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058055;
996;SECOP CUSC18MFX00C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058054;
997;SECOP CUSC21G0000C (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058056;
998;SECOP CUNL10MF000V (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605286;
999;SECOP CUSC18MFX00V (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605295;
1000;SECOP CUSC21MFX00V (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605296;
1001;SECOP CUGS26MFX00V (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058062;
1002;SECOP CUGS34MFX00V (R134A HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058063;
1003;SECOP CUTL4DL0000C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058012;
1004;SECOP CUNL6.1MLX0C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058013;
1005;SECOP CUNF7MLX000C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058015;
1006;SECOP CUSC10MLX00C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058016;
1007;SECOP CUSC12MLX00C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058017;
1008;SECOP CUSC15MLX00C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058018;
1009;SECOP CUSC18MLX00C (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058019;
1010;SECOP CUNF7MLX000V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605297;
1011;SECOP CUSC10MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605298;
1012;SECOP CUSC12MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605299;
1013;SECOP CUSC15MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605300;
1014;SECOP CUSC18MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605301;
1015;SECOP CUGS21MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058025;
1016;SECOP CUGS26MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058026;
1017;SECOP CUGS34MLX00V (R404A/R507 HMBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058027;
1018;SECOP CUTL4CL0000C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058028;
1019;SECOP CUNL7CLX000C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058029;
1020;SECOP CUNL8.4CLX0C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058030;
1021;SECOP CUSC12CLX.2C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058931;
1022;SECOP CUSC15CLX.2C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058032;
1023;SECOP CUSC18CL000C (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058033;
1024;SECOP CUNL8.4CLX0V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605288;
1025;SECOP CUSC12CLX.2V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605289;
1026;SECOP CUSC15CLX.2V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605290;
1027;SECOP CUSC21CL000V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;605291;
1028;SECOP CUGS26CLX00V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058038;
1029;SECOP CUGS34CLX00V (R404A/R507 LBP);200.00;Secop;Kondenser Üniteleri;condenserunit;LF3058039;
1030;CUBIGEL CGL60TB2N (R134 HMBP);110.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058134;
1031;CUBIGEL CGL60TB3N (R134 HMBP);110.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058145;
1032;CUBIGEL CGLY12RAa3N (R134 HMBP);90.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058146;
1033;CUBIGEL CML45TB2N (R404/R507 HMBP);100.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058147;
1034;CUBIGEL CML80TB2N (R404/R507 HMBP);125.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058148;
1035;CUBIGEL CML45TB3N (R404/R507 HMBP);100.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058149;
1036;CUBIGEL CML90TB3N (R404/R507 HMBP);134.71;Cubigel;Kondenser Üniteleri;condenserunit;LF3058150;
1037;CUBIGEL CMLY90LAa2N (R404/R507 LBP);95.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058151;
1038;CUBIGEL CMLY90LAa3N (R404/R507 LBP);95.00;Cubigel;Kondenser Üniteleri;condenserunit;LF3058152;
1039;CUBIGEL CMPT14LA3N (R404/R507 LBP);103.70;Cubigel;Kondenser Üniteleri;condenserunit;LF3058153;
1040;UCS HU/20A SA EMT6144U EMT6144U 1/5 (R290 HBP);200.00;;Kondenser Üniteleri;condenserunit;LF3058121;
1041;UCS (R290 HBP) - HU/25A SA EMT6165U EMT6165U 1/4;200.00;;Kondenser Üniteleri;condenserunit;LF3058122;
1042;UCS (R290 HBP) - HU/33A SA NEK6210U NEK6210U 1/3;200.00;;Kondenser Üniteleri;condenserunit;LF3058123;
1043;UCS (R290 HBP) - HU/50A SA NEK6217U NEK6217U 1/2;200.00;;Kondenser Üniteleri;condenserunit;LF3058124;
1044;UCS (R290 HBP) - HU/75A SA NT6220U;200.00;;Kondenser Üniteleri;condenserunit;LF3058125;
1045;EMBRACO UCS (R290 LBP) - U/20A SA EMT2117U;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058126;
1046;EMBRACO UCS (R290 LBP) - U/25A SA EMT2121U;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058127;
1047;EMBRACO UCS (R290 LBP) - U/33A SA EMT2130U EMT2130U 1/3;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058128;
1048;EMBRACO UCS (R290 LBP) - U/50A SA NEK2134U;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058129;
1049;EMBRACO UCS (R290 LBP) - U/75A SA NT2170U;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058130;
1050;EMBRACO UCS U/100A SA NT2180U (R290 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;;
1051;EMBRACO UCS (R290 LBP) - U/125A SA NT2210U;200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058132;
1052;EMBRACO UCG W 25 A (R404/R452 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058116;
1053;EMBRACO UCG W 50 A (R404/R452 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058117;
1054;EMBRACO UCG W 75 A (R404/R452 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058118;
1055;EMBRACO UCG W 90 A (R404/R452 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058119;
1056;EMBRACO UCG W 120 A (R404/R452 LBP);200.00;Embraco;Kondenser Üniteleri;condenserunit;LF3058111;
1057;TECUMSEH LEOCAR9460MUTA (R404/R452 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058133;
1058;TECUMSEH LEOCAR9480MUTA (R404/R452 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058135;
1059;TECUMSEH LEOCAR9510MUTA (R404/R452 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058136;
1060;TECUMSEH LEOCAR4519MUTA (R404/R452 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058137;
1061;TECUMSEH LEOCAR4524MUTA (R404/R452 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058138;
1062;TECUMSEH LEOCAR2432MUTA (R404/R452 LBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058139;
1063;TECUMSEH LEOCAR2464MUTA (R404/R452 LBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058140;
1064;TECUMSEH LEOCAR2480MUTA (R404/R452 LBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058141;
1065;TECUMSEH LEOCAR4461MUTA (R134 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058142;
1066;TECUMSEH LEOCAR4511MUTA (R134 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058143;
1067;TECUMSEH LEOCAR4518MUTA (R134 HBP);200.00;Tecumseh;Kondenser Üniteleri;condenserunit;LF3058144;
1068;MTA2.0 - HU/700 N R290 EMT6152U;200.00;;Kondenser Üniteleri;condenserunit;LF3058158;
1069;MTA2.0 - HU/1400 N R290 NEK6210U;200.00;;Kondenser Üniteleri;condenserunit;LF3058159;
1070;MTA2.0 - MU/700 G R290 EMT6165U;200.00;;Kondenser Üniteleri;condenserunit;LF3058160;
1071;Hot Gas;200.00;;Kondenser Üniteleri;condenserunit;;
1072;MTA2.0 - U/700 G;200.00;;Kondenser Üniteleri;condenserunit;LF3058162;
1073;MTA2.0 - U/1400 G;200.00;;Kondenser Üniteleri;condenserunit;LF3058163;
1074;UMZ U/03S1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155851;
1075;UMZ U/04A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155852;
1076;UMZ G/03A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155865;
1077;UMZ G/05A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155866;
1078;UMZ G/08U2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155867;
1079;UMZ G/11U2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155868;
1080;T UMZ G/15U3 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155869;
1081;T UMZ G/17U3 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155870;
1082;UMZ U/08S2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155853;
1083;UMZ U/13A3 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155854;
1084;UMZ HU/04S1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155844;
1085;UMZ HU/05S1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155845;
1086;UMZ H G/04A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155856;
1087;UMZ H G/05A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155857;
1088;UMZ H G/07A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155858;
1089;UMZ H G/08A1 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155859;
1090;UMZ H G/12A2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155860;
1091;UMZ H G/16A2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155862;
1092;T UMZ H G/19U3 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155863;
1093;T UMZ H G/23U3 PLUG-;200.00;;Kondenser Üniteleri;condenserunit;LF5155864;
1094;UMZ HU/09S2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155846;
1095;UMZ HU/12S2 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155847;
1096;UMZHU/18A3 PLUG-IN;200.00;;Kondenser Üniteleri;condenserunit;LF5155850;
1097;STA - E-PLV;200.00;;Kondenser Üniteleri;condenserunit;LF3058006;
1098;STA - E-PHV;200.00;;Kondenser Üniteleri;condenserunit;LF3058007;
1099;STA - E-NLV;200.00;;Kondenser Üniteleri;condenserunit;LF3058008;
1100;STA - E-NHV R290 NT2180U;200.00;;Kondenser Üniteleri;condenserunit;LF3058009;
1101;STB E-PLV;200.00;;Kondenser Üniteleri;condenserunit;LF3058010;
1102;STB NLV R290 NLE12.6CNL 383W (*);200.00;;Kondenser Üniteleri;condenserunit;LF5231830;
1103;STB E-PH R290 KLF5.6CND;200.00;;Kondenser Üniteleri;condenserunit;LF5231833;
1104;STA - E-PL;200.00;;Kondenser Üniteleri;condenserunit;LF5232584;
1105;STB E-PHV;200.00;;Kondenser Üniteleri;condenserunit;LF5233860;
1106;STB E-PL Lh R290 KLF4.0CND;200.00;;Kondenser Üniteleri;condenserunit;LF5232113;
1107;STB E-PL Rh R290 KLF4.0CND;200.00;;Kondenser Üniteleri;condenserunit;LF5232114;
1108;GRID FOR COOLING UNITS TECO;200.00;;Kondenser Üniteleri;condenserunit;;
1109;WALL-MOUNTED MONOBLOCK MTH TN - CAPILLARY (LF3185133);200.00;;Kondenser Üniteleri;condenserunit;LF3185133;
1110;stainless steel grid for STB;1261.00;Luve;Evaporatörler;evaporator;LF3185134;
1111;stainless steel grid for STA;1261.00;Luve;Evaporatörler;evaporator;LF3185135;
1112;Axial fan (LF3123199);126.00;;Fanlar & Motorlar;fan;LF3123199;
1113;LUVE;1261.00;Luve;Evaporatörler;evaporator;LF3123201;
1114;EVC1N;126.00;;Fanlar & Motorlar;fan;750778;
1115;EVC2N;126.00;;Fanlar & Motorlar;fan;750779;
1116;EVC3N;126.00;;Fanlar & Motorlar;fan;LF3123021;
1117;EVC4N;126.00;;Fanlar & Motorlar;fan;LF3123022;
1118;EVP1N;126.00;;Fanlar & Motorlar;fan;750781;
1119;EVP2N;126.00;;Fanlar & Motorlar;fan;750780;
1120;CARTRIDGE HEATING ELEMENTS PTC UNIVERSAL (417570);40.00;;Isıtıcılar & Rezistanslar;heating;417570;
1121;HEATING ELEMENTS CARTER (696599);40.00;;Isıtıcılar & Rezistanslar;heating;696599;
1122;Dimension;40.00;;Isıtıcılar & Rezistanslar;heating;696601;
1123;HEATING ELEMENTS ETCHED FOIL IN SILICONE (416315);40.00;;Isıtıcılar & Rezistanslar;heating;416315;
1124;with adhesive side;40.00;;Isıtıcılar & Rezistanslar;heating;419331;
1125;CuSt;40.00;;Isıtıcılar & Rezistanslar;heating;418755;
1126;Fiberglass;40.00;;Isıtıcılar & Rezistanslar;heating;LF3355968;
1127;HEATING ELEMENTS IN SILICONE (418807);40.00;;Isıtıcılar & Rezistanslar;heating;418807;
1128;Heating;40.00;;Isıtıcılar & Rezistanslar;heating;420377;
1129;HEATING ELEMENTS IN SILICONE FOR CONDENSATE DRAIN (416336);40.00;;Isıtıcılar & Rezistanslar;heating;416336;
1130;mm;40.00;;Isıtıcılar & Rezistanslar;heating;417523;
1131;RCE 051;1261.00;Luve;Evaporatörler;evaporator;LF3455430;
1132;RCE 061;1261.00;Luve;Evaporatörler;evaporator;LF3455431;
1133;RSV-050;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455432;
1134;RSV-060;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455433;
1135;RSV-100;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455434;
1136;RSV-125;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455435;
1137;RSV-150;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455436;
1138;RSV-175;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455437;
1139;RSV-200;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455438;
1140;RSV-225;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455439;
1141;RSV-250;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455440;
1142;RSV-275;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455441;
1143;RSV-300;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455442;
1144;RSV-325;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455443;
1145;RSV-350;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455444;
1146;RSV-375;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455455;
1147;RSV-400;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455445;
1148;RSV-450;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455446;
1149;RSV-500;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455447;
1150;RSV-650;40.00;;Isıtıcılar & Rezistanslar;heating;LF3455450;
1151;vertical;40.00;;Isıtıcılar & Rezistanslar;heating;750430;
1152;horizontal;40.00;;Isıtıcılar & Rezistanslar;heating;LF3015080;
1153;BDE/16;40.00;;Isıtıcılar & Rezistanslar;heating;750001;
1154;BDE/30;40.00;;Isıtıcılar & Rezistanslar;heating;750002;
1155;D70;40.00;;Isıtıcılar & Rezistanslar;heating;750807;
1156;CHS1;150.00;;Kondenserler;condenser;750798;
1157;CHS2;150.00;;Kondenserler;condenser;LF3123060;
1158;CHS3;150.00;;Kondenserler;condenser;LF3123062;
1159;CHS4;150.00;;Kondenserler;condenser;LF3123063;
1160;Fan diameter;150.00;;Kondenserler;condenser;LF5021793;
1161;STFT 12218;150.00;;Kondenserler;condenser;LF3123088;
1162;STFT 14121;150.00;;Kondenserler;condenser;LF3123092;
1163;STFT 14221;150.00;;Kondenserler;condenser;750797;
1164;STFT 16124;150.00;;Kondenserler;condenser;LF3123125;
1165;STFT 16224;150.00;;Kondenserler;condenser;750409;
1166;STN 8324;150.00;;Kondenserler;condenser;750249;
1167;STFT 18227;150.00;;Kondenserler;condenser;LF3123091;
1168;CF18;150.00;;Kondenserler;condenser;LF3123094;
1169;CF21;150.00;;Kondenserler;condenser;LF3123095;
1170;CF24;150.00;;Kondenserler;condenser;LF3123096;
1171;LF123097;150.00;;Kondenserler;condenser;;
1172;CCV1024/3;150.00;;Kondenserler;condenser;LF3030005;
1173;CCV1024/4;150.00;;Kondenserler;condenser;LF3123064;
1174;CCV1127/4;150.00;;Kondenserler;condenser;LF3123006;
1175;CCV1438/4;150.00;;Kondenserler;condenser;LF3123009;
1176;CCV1643/4;150.00;;Kondenserler;condenser;LF3123010;
1177;CCV1258/3;150.00;;Kondenserler;condenser;LF3123011;
1178;CCV1258/4;150.00;;Kondenserler;condenser;LF3123012;
1179;CCV1470/4;150.00;;Kondenserler;condenser;LF3123014;
1180;CCV1682/4;150.00;;Kondenserler;condenser;LF3123015;
1181;EE60251S1-1000U-999;126.00;;Fanlar & Motorlar;fan;LF7108241;
1182;AD0612HB-A71GL;126.00;;Fanlar & Motorlar;fan;601154;
1183;EE60252B3-000U-A99;126.00;;Fanlar & Motorlar;fan;LF3240630;
1184;MF60252V1-A99-A;126.00;;Fanlar & Motorlar;fan;601679;
1185;MA2062-HVL;126.00;;Fanlar & Motorlar;fan;LF3540027;
1186;AD08012HB-257104;126.00;;Fanlar & Motorlar;fan;601670;
1187;PF80251V3-000U-A99;126.00;;Fanlar & Motorlar;fan;LF5004018;
1188;AD08024HB-257104;126.00;;Fanlar & Motorlar;fan;601439;
1189;AA8252HB-AT;126.00;;Fanlar & Motorlar;fan;601130;
1190;SF23080AT-2082HBL.GN SUNON;126.00;;Fanlar & Motorlar;fan;LF3240502;
1191;A08A23HWSF00;126.00;;Fanlar & Motorlar;fan;602322;
1192;MA2082-HVL.GN;126.00;;Fanlar & Motorlar;fan;602244;
1193;AA8382HB-AT;126.00;;Fanlar & Motorlar;fan;601081;
1194;SF23080A-2083HBL.GN;126.00;;Fanlar & Motorlar;fan;LF3240337;
1195;EE92251B3-000U-A99;126.00;;Fanlar & Motorlar;fan;LF3540056;
1196;AD0912HB-A71GL;126.00;;Fanlar & Motorlar;fan;601747;
1197;AD0924HB-A71GL;126.00;;Fanlar & Motorlar;fan;601680;
1198;AA9252HB-AT;126.00;;Fanlar & Motorlar;fan;601055;
1199;SF23092A-2092HBT.GN;126.00;;Fanlar & Motorlar;fan;LF3240503;
1200;PMD2409PMB1-A(2).GN;126.00;;Fanlar & Motorlar;fan;LF1540001;
1201;AD1212HB-A71GL;126.00;;Fanlar & Motorlar;fan;601158;
1202;AD1224HB-A71GL;126.00;;Fanlar & Motorlar;fan;601159;
1203;DP201AT-2212HBT.GN;126.00;;Fanlar & Motorlar;fan;LF3340156;
1204;AA1252MB-AT;126.00;;Fanlar & Motorlar;fan;601131;
1205;AD1212HB-F51;126.00;;Fanlar & Motorlar;fan;601712;
1206;PMD1212PMB2-A;126.00;;Fanlar & Motorlar;fan;LF3340133;
1207;AD1224HB-F51;126.00;;Fanlar & Motorlar;fan;601705;
1208;AA1282HS-AW;126.00;;Fanlar & Motorlar;fan;601604;
1209;AA1282HB-AT;126.00;;Fanlar & Motorlar;fan;601080;
1210;A12B23HWBWF0;126.00;;Fanlar & Motorlar;fan;602323;
1211;DP200A-2123XBT.GN;126.00;;Fanlar & Motorlar;fan;601692;
1212;AD1312UB-F51;126.00;;Fanlar & Motorlar;fan;601457;
1213;FP-108C;126.00;;Fanlar & Motorlar;fan;601132;
1214;C17B23HTBF00;126.00;;Fanlar & Motorlar;fan;602271;
1215;AK1652HB;126.00;;Fanlar & Motorlar;fan;601706;
1216;A2175-HBT-TC.GN;126.00;;Fanlar & Motorlar;fan;602263;
1217;Rubber anti-vibration;126.00;;Fanlar & Motorlar;fan;LF3240880;
1218;Filter fan guards 119x119 mm;126.00;;Fanlar & Motorlar;fan;LF3540002;
1219;CABLES FOR COMPACT AXIAL FANS (551318);126.00;;Fanlar & Motorlar;fan;551318;
1220;Connection;126.00;;Fanlar & Motorlar;fan;550898;
1221;EBM LF1240052 612NGH;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1222;EBM LF1240053 8412N;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1223;EBM LF1240208 8414N;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1224;EBM Connection;133.08;Ebm-Papst;Fanlar & Motorlar;fan;601908;
1225;EBM;133.08;Ebm-Papst;Fanlar & Motorlar;fan;601038;
1226;EBM ball;133.08;Ebm-Papst;Fanlar & Motorlar;fan;602234;
1227;EBM LF2102290 3856U;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1228;EBM sleeve;133.08;Ebm-Papst;Fanlar & Motorlar;fan;602241;
1229;EBM LF7108502 4314L;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1230;EBM LF3540008 VWCF119DSGJS;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1231;EBM LF3540004 4586Z;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1232;EBM LF3540032 4656ZW;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1233;EBM LF3540069 ACi 4420 HU-014;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1234;EBM LF3540071 ACi 4420 HH;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1235;EBM LF3540013 W2E250-HQ52-12;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
1236;NMB 4715MS-23W-B5AK;126.00;;Fanlar & Motorlar;fan;602247;
1237;EBM 4656 TZ;126.00;;Fanlar & Motorlar;fan;LF3240686;
1238;EBM A4E250-AA04-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF3240594;
1239;EBM A4S250-AH02-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF5065202;
1240;EBM A4E300-AS72-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF3340169;
1241;EBM A4E300-AS72-19;133.08;Ebm-Papst;Fanlar & Motorlar;fan;602152;
1242;EBM A4D300-AS34-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF3340054;
1243;EBM A4E315-AC08-18;133.08;Ebm-Papst;Fanlar & Motorlar;fan;601622;
1244;EBM A4E315-AC08-19;133.08;Ebm-Papst;Fanlar & Motorlar;fan;601623;
1245;EBM A4E315 AS20-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF2102390;
1246;EBM S4E315 DB74-09;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF7102134;
1247;EBM A6E330-AA02-10;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF5073754;
1248;EBM A4E330-AP18-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;601625;
1249;EBM A4E330 AB16-19;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF2102318;
1250;EBM A4E350-AQ02-09;133.08;Ebm-Papst;Fanlar & Motorlar;fan;602010;
1251;EBM A4E350-AN02-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF3540011;
1252;EBM A4E400-AP02-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;LF3240486;
